oewn_id	dulplus_class	source	framester_id	pos	ili	primary_lemma	definition
oewn-11893442-n	dul:Organism	propagated	synset-horseradish-noun-2	n	i99650	horseradish	coarse Eurasian plant cultivated for its thick white pungent root
oewn-11893651-n	dul:BiologicalObject	propagated	synset-horseradish-noun-1	n	i99651	horseradish	the root of the horseradish plant; it is grated or ground and used for seasoning
oewn-11894081-n	dul:Organism	propagated	synset-winter_cress-noun-1	n	i99653	winter cress	any plant of the genus Barbarea: yellow-flowered Eurasian cresses; widely cultivated for winter salad
oewn-11894314-n	dul:Organism	propagated	synset-Belle_Isle_cress-noun-1	n	i99654	Belle Isle cress	of southwestern Europe; cultivated in Florida
oewn-11894550-n	dul:Organism	propagated	synset-yellow_rocket-noun-1	n	i99655	yellow rocket	noxious cress with yellow flowers; sometimes placed in genus Sisymbrium
oewn-11894892-n	dul:Organism	propagated	synset-hoary_alison-noun-1	n	i99657	hoary alison	tall European annual with downy grey-green foliage and dense heads of small white flowers followed by hairy pods; naturalized in North America; sometimes a troublesome weed
oewn-11895347-n	dul:Organism	propagated	synset-buckler_mustard-noun-1	n	i99659	buckler mustard	plant of southeastern Europe having yellow flowers like those of mustard and pods with open valves resembling bucklers
oewn-11895992-n	dul:Organism	propagated	synset-wild_cabbage-noun-1	n	i99661	wild cabbage	wild original of cultivated cabbages; common in western coastal Europe
oewn-11896160-n	dul:Organism	propagated	synset-cabbage-noun-3	n	i99662	cabbage	any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers
oewn-11896407-n	dul:Organism	propagated	synset-head_cabbage-noun-1	n	i99663	head cabbage	any of various cultivated cabbage plants having a short thick stalk and large compact head of edible usually green leaves
oewn-11896673-n	dul:Organism	propagated	synset-savoy_cabbage-noun-1	n	i99664	savoy cabbage	cabbage plant with a compact head of crinkled leaves
oewn-11896785-n	dul:Organism	propagated	synset-red_cabbage-noun-1	n	i99665	red cabbage	cabbage plant with a compact head of reddish purple leaves
oewn-11896901-n	dul:Organism	propagated	synset-brussels_sprout-noun-1	n	i99666	brussels sprout	plant grown for its stout stalks of edible small green heads resembling diminutive cabbages
oewn-11897103-n	dul:Organism	propagated	synset-cauliflower-noun-1	n	i99667	cauliflower	a plant having a large edible head of crowded white flower buds
oewn-11897272-n	dul:Organism	propagated	synset-broccoli-noun-1	n	i99668	broccoli	plant with dense clusters of tight green flower buds
oewn-11897445-n	dul:Organism	propagated	synset-kale-noun-2	n	i99669	kale	a hardy cabbage with coarse curly leaves that do not form a head
oewn-11897662-n	dul:Organism	propagated	synset-collard-noun-1	n	i99670	collard	variety of kale having smooth leaves
oewn-11897752-n	dul:Organism	propagated	synset-kohlrabi-noun-1	n	i99671	kohlrabi	plant cultivated for its enlarged fleshy turnip-shaped edible stem
oewn-11897942-n	dul:Organism	propagated	synset-turnip_plant-noun-1	n	i99672	turnip plant	any of several widely cultivated plants having edible roots
oewn-11898115-n	dul:Organism	propagated	synset-turnip-noun-1	n	i99673	turnip	widely cultivated plant having a large fleshy edible white or yellow root
oewn-11898329-n	dul:Organism	propagated	synset-rutabaga-noun-2	n	i99674	rutabaga	a cruciferous plant with a thick bulbous edible yellow root
oewn-11898570-n	dul:Organism	propagated	synset-broccoli_raab-noun-1	n	i99675	broccoli raab	plant grown for its pungent edible leafy shoots
oewn-11898752-n	dul:Organism	propagated	synset-mustard-noun-1	n	i99676	mustard	any of several cruciferous plants of the genus Brassica
oewn-11898989-n	dul:ChemicalObject	propagated	synset-mustard_oil-noun-1	n	i99677	mustard oil	oil obtained from mustard seeds and used in making soap
oewn-11899102-n	dul:Organism	propagated	synset-chinese_mustard-noun-1	n	i99678	chinese mustard	Asiatic mustard used as a potherb
oewn-11899277-n	dul:Organism	propagated	synset-Chinese_cabbage-noun-1	n	i99679	Chinese cabbage	plant with an elongated head of broad stalked leaves resembling celery; used as a vegetable in east Asia
oewn-11899523-n	dul:Organism	propagated	synset-bok_choy-noun-1	n	i99680	bok choy	Asiatic plant grown for its cluster of edible white stalks with dark green leaves
oewn-11899760-n	dul:Organism	propagated	synset-tendergreen-noun-1	n	i99681	tendergreen	Asiatic plant cultivated for its swollen root crown and edible foliage
oewn-11899974-n	dul:Organism	propagated	synset-black_mustard-noun-1	n	i99682	black mustard	widespread Eurasian annual plant cultivated for its pungent seeds; a principal source of table mustard
oewn-11900191-n	dul:Organism	propagated	synset-rape-noun-1	n	i99683	rape	Eurasian plant cultivated for its seed and as a forage crop
oewn-11900364-n	dul:BiologicalObject	propagated	synset-rapeseed-noun-1	n	i99684	rapeseed	seed of rape plants; source of an edible oil
oewn-11900501-n	dul:ChemicalObject	propagated	synset-rape_oil-noun-1	n	i99685	rape oil	edible light yellow to brown oil from rapeseed used also as a lubricant or illuminant
oewn-11900880-n	dul:Organism	propagated	synset-sea-rocket-noun-1	n	i99687	sea-rocket	salt-tolerant seashore annual grown for its fragrant rose or violet flowers and fleshy grey-green foliage
oewn-11901260-n	dul:Organism	propagated	synset-gold_of_pleasure-noun-1	n	i99689	gold of pleasure	annual European false flax having small white flowers; cultivated since Neolithic times as a source of fiber and for its oil-rich seeds; widely naturalized in North America
oewn-11902211-n	dul:Organism	propagated	synset-bittercress-noun-1	n	i99694	bittercress	any of various herbs of the genus Cardamine, having usually pinnate leaves and racemes of white, pink or purple flowers; cosmopolitan except Antarctic
oewn-11902706-n	dul:Organism	propagated	synset-coral-root_bittercress-noun-1	n	i99696	coral-root bittercress	European bittercress having a knotted white rootstock
oewn-11902895-n	dul:Organism	propagated	synset-crinkleroot-noun-1	n	i99697	crinkleroot	North American herb with pungent scaly or toothed roots
oewn-11903105-n	dul:Organism	propagated	synset-American_watercress-noun-1	n	i99698	American watercress	mat-forming perennial found in cold springs of the eastern United States
oewn-11903290-n	dul:Organism	propagated	synset-spring_cress-noun-1	n	i99699	spring cress	small white-flowered cress common in wet places in eastern North America
oewn-11903441-n	dul:Organism	propagated	synset-purple_cress-noun-1	n	i99700	purple cress	small perennial herb of cooler regions of North America with racemose purple flowers
