oewn_id	pos	primary_lemma	gloss	assigned_class	method	manual_agreement
oewn-01416571-v	v	cut	hit (a ball) with a spin so that it turns in the opposite direction	dul:Action	phase3_propagated_from_hypernym	
oewn-01421862-s	s	denotative	in accordance with fact or the primary meaning of a term	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01466248-s	s	alienated	caused to be unloved	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01493085-a	a	immature	not yet mature	dul:Quality	phase4_A5_adj_head_default	
oewn-01535299-a	a	nonmetamorphic	not metamorphic	dul:Quality	phase4_A5_adj_head_default	
oewn-01551500-v	v	erase	remove by or as if by rubbing or erasing	dul:Action	phase3_propagated_from_hypernym	
oewn-01556651-v	v	chatter	cut unevenly with a chattering tool	dul:Action	phase3_propagated_from_hypernym	
oewn-01568966-v	v	bust up	smash or break forcefully	dul:State	phase3_propagated_from_hypernym	
oewn-01593444-v	v	core	remove the core or center from	dul:Action	phase3_propagated_from_hypernym	
oewn-01669060-a	a	pessimistic	expecting the worst possible outcome	dul:Quality	phase4_A5_adj_head_default	
oewn-01701301-v	v	model	construct a model in the likeness of	dul:Action	phase3_tier1_derivation	
oewn-01731745-v	v	slur	play smoothly or legato	dul:Action	phase3_propagated_from_hypernym	
oewn-01754981-v	v	overact	exaggerate one's acting	dul:Action	phase3_propagated_from_hypernym	
oewn-01773011-v	v	jar	affect in a disagreeable way	dul:Action	phase3_propagated_from_hypernym	
oewn-01792945-n	n	Plymouth Rock	an American breed of domestic fowl	dul:PhysicalBody	phase1_inferred	
oewn-01801245-s	s	puff	gathered for protruding fullness	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01843480-v	v	ride	move like a floating object	dul:Action	phase3_propagated_from_hypernym	
oewn-01861082-n	n	swan	stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult	dul:Organism	phase1_propagated	
oewn-01896449-s	s	bigheaded	(used colloquially) overly conceited or arrogant	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01914259-s	s	virginal	untouched or undefiled	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01914366-v	v	startle	move or jump suddenly, as if in surprise or alarm	dul:State	phase3_propagated_from_hypernym	
oewn-01938650-a	a	unready	not prepared or in a state of readiness; slow to understand or respond	dul:PhysicalAttribute	phase4_A4_physical_attr_keyword	
oewn-01956423-v	v	route	divert in a specified direction	dul:Action	phase3_propagated_from_hypernym	
oewn-01979135-s	s	allied	related by common characteristics or ancestry	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02016825-v	v	shuffle	move about, move back and forth	dul:Action	phase3_propagated_from_hypernym	
oewn-02039365-n	n	avocet	long-legged web-footed black-and-white shorebird with slender upward-curving bill	dul:Organism	phase1_propagated	
oewn-02055194-v	v	cycle	pass through a cycle	dul:Action	phase3_propagated_from_hypernym	
oewn-02073546-s	s	contrasting	strikingly different; tending to contrast	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02168498-v	v	ogle	look at with amorous intentions	dul:Action	phase3_propagated_from_hypernym	
oewn-02173212-a	a	significant	too closely correlated to be attributed to chance and therefore indicating a systematic relation	dul:Quality	phase4_A5_adj_head_default	
oewn-02180022-v	v	tick	make a sound like a clock or a timer	dul:Event	phase3_tier3_default_event	
oewn-02182928-v	v	whish	make a sibilant sound	dul:Event	phase3_tier3_default_event	
oewn-02190638-v	v	pop	cause to make a sharp explosive sound	dul:Action	phase3_propagated_from_hypernym	
oewn-02223706-v	v	fund	convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds	dul:Action	phase3_propagated_from_hypernym	
oewn-02259643-s	s	unattended	lacking accompaniment or a guard or escort	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02262825-a	a	seedy	full of seeds	dul:Quality	phase4_A5_adj_head_default	
oewn-02263073-s	s	black-seeded	having black seeds	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02280845-v	v	requisition	demand and take for use or service, especially by military or public authority for public service	dul:Action	phase3_tier1_derivation	
oewn-02408849-s	s	unsalted	without salt or seasoning	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02416399-a	a	relaxed	without strain or anxiety	dul:Quality	phase4_A5_adj_head_default	
oewn-02430842-a	a	wasteful	tending to squander and waste	dul:Quality	phase4_A5_adj_head_default	
oewn-02443747-s	s	untired	with unreduced energy	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-02479111-v	v	kill	thwart the passage of	dul:Action	phase3_propagated_from_hypernym	
oewn-02531924-n	n	beaked salmon	fish of sandy areas of western Pacific and Indian oceans having an angular snout for burrowing into sand	dul:Organism	phase1_propagated	
oewn-02558526-v	v	rehabilitate	restore to a state of good condition or operation	dul:State	phase3_propagated_from_hypernym	
oewn-02559813-n	n	yellow perch	North American perch	dul:Organism	phase1_propagated	
oewn-02608526-a	a	pederastic	of homosexuality between a man and a boy	dul:Quality	phase4_A5_adj_head_default	
oewn-02649505-v	v	call	stop or postpone because of adverse conditions, such as bad weather	dul:State	phase3_propagated_from_hypernym	
oewn-02679290-a	a	Botswanan	of or pertaining to Botswana or the people of Botswana	dul:Quality	phase4_A2_pertainym_default	
oewn-02687703-a	a	camphoric	relating to or derived from or containing camphor	dul:Quality	phase4_A2_pertainym_default	
oewn-02710203-n	n	anaglyph	moving or still pictures in contrasting colors that appear three-dimensional when superimposed	dul:InformationRealization	phase1_propagated	
oewn-02719070-a	a	cytoarchitectural	of or relating to cytoarchitecture	dul:Quality	phase4_A2_pertainym_default	
oewn-02720416-v	v	protuberate	form a rounded prominence	dul:Action	phase3_propagated_from_hypernym	
oewn-02732613-a	a	ergonomic	of or relating to ergonomics	dul:Quality	phase4_A2_pertainym_default	
oewn-02750721-a	a	hemodynamic	or of relating to or involved in hemodynamics	dul:Quality	phase4_A2_pertainym_default	
oewn-02760342-n	n	audiometer	an instrument used to measure the sensitivity of hearing	dul:DesignedArtifact	phase1_propagated	
oewn-02783873-a	a	palmar	relating to the palm of the hand or the sole of the foot	dul:Quality	phase4_A2_pertainym_default	
oewn-02821491-a	a	temperamental	relating to or caused by temperament	dul:Quality	phase4_A2_pertainym_default	
oewn-02878524-a	a	messianic	of or relating to a messiah promising deliverance	dul:Quality	phase4_A2_pertainym_default	
oewn-02887905-a	a	endermic	acting by absorption through the skin	dul:Quality	phase4_A2_pertainym_default	
oewn-02911448-n	n	brunch coat	a woman's short housecoat or wrapper	dul:PhysicalObject	phase1_propagated	
oewn-02999091-a	a	incident	falling or striking of light rays on something	dul:Quality	phase4_A2_pertainym_default	
oewn-03005725-a	a	lacustrine	of or relating to or living near lakes	dul:Quality	phase4_A2_pertainym_default	
oewn-03010906-a	a	tricentenary	of or relating to or completing a period of 300 years	dul:Quality	phase4_A2_pertainym_default	
oewn-03032973-a	a	hyoid	of or relating to the hyoid bone	dul:Quality	phase4_A2_pertainym_default	
oewn-03122135-a	a	inspiratory	pertaining to the drawing in phase of respiration	dul:Quality	phase4_A2_pertainym_default	
oewn-03130003-n	n	cracker	a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends	dul:PhysicalObject	phase1_propagated	
oewn-03151353-n	n	cullis	a gutter in a roof	dul:PhysicalPlace	phase1_propagated	
